#OG	member_id	member_annotation
15	ref|AFP84997.1|ref|AFP84997.1|	Co-chaperonin GroES [secondary endosymbiont of Ctenarytaina eucalypti]
15	ref|AFP85484.1|ref|AFP85484.1|	Co-chaperonin GroES [secondary endosymbiont of Heteropsylla cubana]
16	fig|634115.4.peg.175|fig|634115.4.peg.175|	unlabeled protein [Arsenophenous melophagi]
16	fig|634115.3.peg.175|fig|634115.3.peg.175|	unlabeled protein [Arsenophenous melophagi]
16	ref|BAB12746.1|ref|BAB12746.1|	60 kD chaperonin [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
16	ref|AAO26764.1|ref|AAO26764.1|	chaperonin GroEL protein [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
16	ref|CUX96688.1|ref|CUX96688.1|	60 kDa chaperonin [Candidatus Doolittlea endobia]
16	ref|CUX96143.1|ref|CUX96143.1|	60 kDa chaperonin [Candidatus Gullanella endobia]
16	ref|ATW22107.1|ref|ATW22107.1|	chaperonin GroL [Candidatus Hamiltonella defensa]
16	ref|CUX97424.1|ref|CUX97424.1|	60 kDa chaperonin [Candidatus Hoaglandella endobia]
16	ref|WP_067569032.1|ref|WP_067569032.1|	chaperonin GroEL [Candidatus Mikella endobia]
16	ref|AEI75042.1|ref|AEI75042.1|	chaperonin GroEL [Candidatus Moranella endobia PCIT]
16	ref|AGJ61290.1|ref|AGJ61290.1|	60 kDa chaperonin [Candidatus Moranella endobia PCVAL]
16	ref|AHF73426.1|ref|AHF73426.1|	Heat shock protein 60 family chaperone GroEL [Candidatus Sodalis pierantonius str. SOPE]
16	ref|AHF73229.1|ref|AHF73229.1|	Heat shock protein 60 family chaperone GroEL [Candidatus Sodalis pierantonius str. SOPE]
16	ref|BBI92240.1|ref|BBI92240.1|	60 kDa chaperonin [Serratia symbiotica]
16	ref|KYP96345.1|ref|KYP96345.1|	molecular chaperone GroEL [Sodalis-like endosymbiont of Proechinophthirus fluctus]
16	ref|SNC58867.1|ref|SNC58867.1|	60 kDa chaperonin [Sodalis endosymbiont of Henestaris halophilus]
16	ref|SNC58863.1|ref|SNC58863.1|	60 kDa chaperonin [Sodalis endosymbiont of Henestaris halophilus]
16	ref|BAE73581.1|ref|BAE73581.1|	chaperonin GroEL [Sodalis glossinidius str. morsitans]
16	fig|1173031.7.peg.2300|fig|1173031.7.peg.2300|	unlabeled protein [Sodalis melophagi]
16	ref|WP_025423654.1|ref|WP_025423654.1|	chaperonin GroEL [Sodalis praecaptivus]
16	ref|AFP84996.1|ref|AFP84996.1|	chaperonin GroL [secondary endosymbiont of Ctenarytaina eucalypti]
16	ref|AFP85483.1|ref|AFP85483.1|	chaperonin GroL [secondary endosymbiont of Heteropsylla cubana]
18	fig|634115.3.peg.603|fig|634115.3.peg.603|	unlabeled protein [Arsenophenous melophagi]
18	fig|634115.4.peg.603|fig|634115.4.peg.603|	unlabeled protein [Arsenophenous melophagi]
18	ref|BAB13220.1|ref|BAB13220.1|	elongation factor G [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
18	ref|AAO27176.1|ref|AAO27176.1|	elongation factor G [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
18	ref|CUX96876.1|ref|CUX96876.1|	Elongation factor G [Candidatus Doolittlea endobia]
18	ref|CUX95753.1|ref|CUX95753.1|	Elongation factor G [Candidatus Gullanella endobia]
18	ref|ATW22172.1|ref|ATW22172.1|	translation elongation factor G [Candidatus Hamiltonella defensa]
18	ref|CUX97369.1|ref|CUX97369.1|	Elongation factor G [Candidatus Hoaglandella endobia]
18	ref|WP_067569184.1|ref|WP_067569184.1|	elongation factor G [Candidatus Mikella endobia]
18	ref|AEI75073.1|ref|AEI75073.1|	translation elongation factor G [Candidatus Moranella endobia PCIT]
18	ref|AGJ61323.1|ref|AGJ61323.1|	Elongation factor G [Candidatus Moranella endobia PCVAL]
18	ref|AHF72956.1|ref|AHF72956.1|	elongation factor G [Candidatus Sodalis pierantonius str. SOPE]
18	ref|BBI91556.1|ref|BBI91556.1|	elongation factor G [Serratia symbiotica]
18	ref|KYP96991.1|ref|KYP96991.1|	elongation factor G [Sodalis-like endosymbiont of Proechinophthirus fluctus]
18	ref|SNC58370.1|ref|SNC58370.1|	Elongation factor G [Sodalis endosymbiont of Henestaris halophilus]
18	ref|BAE75559.1|ref|BAE75559.1|	elongation factor G [Sodalis glossinidius str. morsitans]
18	fig|1173031.7.peg.3943|fig|1173031.7.peg.3943|	unlabeled protein [Sodalis melophagi]
18	ref|WP_025423198.1|ref|WP_025423198.1|	elongation factor G [Sodalis praecaptivus]
18	ref|WP_025420672.1|ref|WP_025420672.1|	elongation factor G [Sodalis praecaptivus]
18	ref|AFP84801.1|ref|AFP84801.1|	translation elongation factor EF-G [secondary endosymbiont of Ctenarytaina eucalypti]
18	ref|AFP85741.1|ref|AFP85741.1|	translation elongation factor EF-G [secondary endosymbiont of Heteropsylla cubana]
19	fig|634115.4.peg.241|fig|634115.4.peg.241|	unlabeled protein [Arsenophenous melophagi]
19	fig|634115.3.peg.241|fig|634115.3.peg.241|	unlabeled protein [Arsenophenous melophagi]
19	ref|BAB12760.1|ref|BAB12760.1|	DNA-directed RNA polymerase beta' chain [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
19	ref|AAO26777.1|ref|AAO26777.1|	DNA-directed RNA polymerase beta' chain [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
19	ref|CUX96665.1|ref|CUX96665.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Doolittlea endobia]
19	ref|CUX95770.1|ref|CUX95770.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Gullanella endobia]
19	ref|ATW22163.1|ref|ATW22163.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Hamiltonella defensa]
19	ref|CUX97378.1|ref|CUX97378.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Hoaglandella endobia]
19	ref|WP_067569160.1|ref|WP_067569160.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Mikella endobia]
19	ref|AEI75052.1|ref|AEI75052.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Moranella endobia PCIT]
19	ref|AGJ61302.1|ref|AGJ61302.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Moranella endobia PCVAL]
19	ref|AHF74818.1|ref|AHF74818.1|	DNA-directed RNA polymerase beta' subunit [Candidatus Sodalis pierantonius str. SOPE]
19	ref|BBI91347.1|ref|BBI91347.1|	DNA-directed RNA polymerase subunit beta' [Serratia symbiotica]
19	ref|KYP97166.1|ref|KYP97166.1|	DNA-directed RNA polymerase subunit beta', partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
19	ref|SNC58775.1|ref|SNC58775.1|	DNA-directed RNA polymerase subunit beta' [Sodalis endosymbiont of Henestaris halophilus]
19	ref|BAE73410.1|ref|BAE73410.1|	RNA polymerase beta prime subunit [Sodalis glossinidius str. morsitans]
19	fig|1173031.7.peg.5169|fig|1173031.7.peg.5169|	unlabeled protein [Sodalis melophagi]
19	ref|WP_025424013.1|ref|WP_025424013.1|	DNA-directed RNA polymerase subunit beta' [Sodalis praecaptivus]
19	ref|AFP84677.1|ref|AFP84677.1|	DNA-directed RNA polymerase, beta'' subunit, predominant form [secondary endosymbiont of Ctenarytaina eucalypti]
19	ref|AFP85625.1|ref|AFP85625.1|	DNA-directed RNA polymerase, beta'' subunit, predominant form [secondary endosymbiont of Heteropsylla cubana]
20	fig|634115.3.peg.1035|fig|634115.3.peg.1035|	unlabeled protein [Arsenophenous melophagi]
20	fig|634115.4.peg.1035|fig|634115.4.peg.1035|	unlabeled protein [Arsenophenous melophagi]
20	ref|BAB12886.1|ref|BAB12886.1|	ribose-phosphate pyrophosphokinase [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
20	ref|AAO26893.1|ref|AAO26893.1|	ribose-phosphate pyrophosphokinase [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
20	ref|CUX96606.1|ref|CUX96606.1|	Ribose-phosphate pyrophosphokinase [Candidatus Doolittlea endobia]
20	ref|CUX95875.1|ref|CUX95875.1|	Ribose-phosphate pyrophosphokinase [Candidatus Gullanella endobia]
20	ref|ATW23186.1|ref|ATW23186.1|	ribose-phosphate pyrophosphokinase [Candidatus Hamiltonella defensa]
20	ref|CUX97242.1|ref|CUX97242.1|	Ribose-phosphate pyrophosphokinase [Candidatus Hoaglandella endobia]
20	ref|WP_067569363.1|ref|WP_067569363.1|	ribose-phosphate pyrophosphokinase [Candidatus Mikella endobia]
20	ref|AEI74897.1|ref|AEI74897.1|	putative ribose-phosphate pyrophosphokinase [Candidatus Moranella endobia PCIT]
20	ref|AGJ61144.1|ref|AGJ61144.1|	Ribose-phosphate pyrophosphokinase [Candidatus Moranella endobia PCVAL]
20	ref|AHF74206.1|ref|AHF74206.1|	ribose-phosphate pyrophosphokinase [Candidatus Sodalis pierantonius str. SOPE]
20	ref|BBI91412.1|ref|BBI91412.1|	ribose-phosphate pyrophosphokinase [Serratia symbiotica]
20	ref|KYP97506.1|ref|KYP97506.1|	ribose-phosphate pyrophosphokinase, partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
20	ref|KYP97507.1|ref|KYP97507.1|	ribose-phosphate pyrophosphokinase, partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
20	ref|SNC58790.1|ref|SNC58790.1|	Ribose-phosphate pyrophosphokinase [Sodalis endosymbiont of Henestaris halophilus]
20	ref|BAE75155.1|ref|BAE75155.1|	ribose-phosphate pyrophosphokinase [Sodalis glossinidius str. morsitans]
20	fig|1173031.7.peg.3097|fig|1173031.7.peg.3097|	unlabeled protein [Sodalis melophagi]
20	ref|WP_025422296.1|ref|WP_025422296.1|	ribose-phosphate pyrophosphokinase [Sodalis praecaptivus]
20	ref|AFP84853.1|ref|AFP84853.1|	ribose-phosphate pyrophosphokinase [secondary endosymbiont of Ctenarytaina eucalypti]
20	ref|AFP85393.1|ref|AFP85393.1|	ribose-phosphate pyrophosphokinase [secondary endosymbiont of Heteropsylla cubana]
21	fig|634115.4.peg.240|fig|634115.4.peg.240|	unlabeled protein [Arsenophenous melophagi]
21	fig|634115.3.peg.240|fig|634115.3.peg.240|	unlabeled protein [Arsenophenous melophagi]
21	ref|BAB12761.1|ref|BAB12761.1|	DNA-directed RNA polymerase beta chain [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
21	ref|AAO26778.1|ref|AAO26778.1|	DNA-directed RNA polymerase beta chain [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
21	ref|CUX96666.1|ref|CUX96666.1|	DNA-directed RNA polymerase subunit beta [Candidatus Doolittlea endobia]
21	ref|CUX95768.1|ref|CUX95768.1|	DNA-directed RNA polymerase subunit beta [Candidatus Gullanella endobia]
21	ref|ATW22164.1|ref|ATW22164.1|	DNA-directed RNA polymerase subunit beta [Candidatus Hamiltonella defensa]
21	ref|CUX97377.1|ref|CUX97377.1|	DNA-directed RNA polymerase subunit beta [Candidatus Hoaglandella endobia]
21	ref|WP_067569163.1|ref|WP_067569163.1|	DNA-directed RNA polymerase subunit beta [Candidatus Mikella endobia]
21	ref|AEI75053.1|ref|AEI75053.1|	DNA-directed RNA polymerase subunit beta [Candidatus Moranella endobia PCIT]
21	ref|AGJ61303.1|ref|AGJ61303.1|	DNA-directed RNA polymerase subunit beta [Candidatus Moranella endobia PCVAL]
21	ref|AHF74819.1|ref|AHF74819.1|	DNA-directed RNA polymerase beta subunit [Candidatus Sodalis pierantonius str. SOPE]
21	ref|BBI91348.1|ref|BBI91348.1|	DNA-directed RNA polymerase subunit beta [Serratia symbiotica]
21	ref|KYP97155.1|ref|KYP97155.1|	DNA-directed RNA polymerase subunit beta [Sodalis-like endosymbiont of Proechinophthirus fluctus]
21	ref|SNC58774.1|ref|SNC58774.1|	DNA-directed RNA polymerase subunit beta [Sodalis endosymbiont of Henestaris halophilus]
21	ref|BAE73409.1|ref|BAE73409.1|	RNA polymerase beta subunit [Sodalis glossinidius str. morsitans]
21	fig|1173031.7.peg.5168|fig|1173031.7.peg.5168|	unlabeled protein [Sodalis melophagi]
21	ref|WP_025424014.1|ref|WP_025424014.1|	DNA-directed RNA polymerase subunit beta [Sodalis praecaptivus]
21	ref|AFP84676.1|ref|AFP84676.1|	DNA-directed RNA polymerase, beta subunit [secondary endosymbiont of Ctenarytaina eucalypti]
21	ref|AFP85626.1|ref|AFP85626.1|	DNA-directed RNA polymerase, beta subunit [secondary endosymbiont of Heteropsylla cubana]
22	fig|634115.4.peg.561|fig|634115.4.peg.561|	unlabeled protein [Arsenophenous melophagi]
22	fig|634115.3.peg.561|fig|634115.3.peg.561|	unlabeled protein [Arsenophenous melophagi]
22	ref|BAB13217.1|ref|BAB13217.1|	50S ribosomal protein L3 [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
22	ref|AAO27173.1|ref|AAO27173.1|	50S ribosomal protein L3 [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
22	ref|CUX96829.1|ref|CUX96829.1|	50S ribosomal protein L3 [Candidatus Doolittlea endobia]
22	ref|CUX96190.1|ref|CUX96190.1|	50S ribosomal protein L3 [Candidatus Gullanella endobia]
22	ref|ATW23009.1|ref|ATW23009.1|	50S ribosomal protein L3 [Candidatus Hamiltonella defensa]
22	ref|CUX97102.1|ref|CUX97102.1|	50S ribosomal protein L3 [Candidatus Hoaglandella endobia]
22	ref|WP_067569154.1|ref|WP_067569154.1|	50S ribosomal protein L3 [Candidatus Mikella endobia]
22	ref|AEI75015.1|ref|AEI75015.1|	50S ribosomal protein L3 [Candidatus Moranella endobia PCIT]
22	ref|AGJ61263.1|ref|AGJ61263.1|	50S ribosomal protein L3 [Candidatus Moranella endobia PCVAL]
22	ref|AHF72873.1|ref|AHF72873.1|	LSU ribosomal protein L3p (L3e) [Candidatus Sodalis pierantonius str. SOPE]
22	ref|BBI91553.1|ref|BBI91553.1|	50S ribosomal protein L3 [Serratia symbiotica]
22	ref|KYP97623.1|ref|KYP97623.1|	50S ribosomal protein L3 [Sodalis-like endosymbiont of Proechinophthirus fluctus]
22	ref|SNC58366.1|ref|SNC58366.1|	50S ribosomal protein L3 [Sodalis endosymbiont of Henestaris halophilus]
22	ref|BAE75553.1|ref|BAE75553.1|	50S ribosomal protein L3 [Sodalis glossinidius str. morsitans]
22	fig|1173031.7.peg.3935|fig|1173031.7.peg.3935|	unlabeled protein [Sodalis melophagi]
22	ref|WP_025420678.1|ref|WP_025420678.1|	50S ribosomal protein L3 [Sodalis praecaptivus]
22	ref|AFP84730.1|ref|AFP84730.1|	50S ribosomal protein L3, bacterial [secondary endosymbiont of Ctenarytaina eucalypti]
22	ref|AFP85608.1|ref|AFP85608.1|	50S ribosomal protein L3, bacterial [secondary endosymbiont of Heteropsylla cubana]
23	fig|634115.3.peg.560|fig|634115.3.peg.560|	unlabeled protein [Arsenophenous melophagi]
23	fig|634115.4.peg.560|fig|634115.4.peg.560|	unlabeled protein [Arsenophenous melophagi]
23	ref|BAB13216.1|ref|BAB13216.1|	50S ribosomal protein L4 [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
23	ref|AAO27172.1|ref|AAO27172.1|	50S ribosomal protein L4 [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
23	ref|CUX96828.1|ref|CUX96828.1|	50S ribosomal protein L4 [Candidatus Doolittlea endobia]
23	ref|CUX96191.1|ref|CUX96191.1|	50S ribosomal protein L4 [Candidatus Gullanella endobia]
23	ref|ATW23008.1|ref|ATW23008.1|	50S ribosomal protein L4 [Candidatus Hamiltonella defensa]
23	ref|CUX97101.1|ref|CUX97101.1|	50S ribosomal protein L4 [Candidatus Hoaglandella endobia]
23	ref|WP_067569152.1|ref|WP_067569152.1|	50S ribosomal protein L4 [Candidatus Mikella endobia]
23	ref|AEI75016.1|ref|AEI75016.1|	putative 50S ribosomal protein L4 [Candidatus Moranella endobia PCIT]
23	ref|AGJ61264.1|ref|AGJ61264.1|	50S ribosomal protein L4 [Candidatus Moranella endobia PCVAL]
23	ref|AHF72872.1|ref|AHF72872.1|	LSU ribosomal protein L4p (L1e) [Candidatus Sodalis pierantonius str. SOPE]
23	ref|BBI91552.1|ref|BBI91552.1|	50S ribosomal protein L4 [Serratia symbiotica]
23	ref|KYP97624.1|ref|KYP97624.1|	50S ribosomal protein L4 [Sodalis-like endosymbiont of Proechinophthirus fluctus]
23	ref|SNC58365.1|ref|SNC58365.1|	50S ribosomal protein L4 [Sodalis endosymbiont of Henestaris halophilus]
23	ref|BAE75552.1|ref|BAE75552.1|	50S ribosomal protein L4 [Sodalis glossinidius str. morsitans]
23	fig|1173031.7.peg.3934|fig|1173031.7.peg.3934|	unlabeled protein [Sodalis melophagi]
23	ref|WP_025420679.1|ref|WP_025420679.1|	50S ribosomal protein L4 [Sodalis praecaptivus]
23	ref|AFP84729.1|ref|AFP84729.1|	50S ribosomal protein L4, bacterial/organelle [secondary endosymbiont of Ctenarytaina eucalypti]
23	ref|AFP85607.1|ref|AFP85607.1|	50S ribosomal protein L4, bacterial/organelle [secondary endosymbiont of Heteropsylla cubana]
24	fig|634115.4.peg.236|fig|634115.4.peg.236|	unlabeled protein [Arsenophenous melophagi]
24	fig|634115.3.peg.236|fig|634115.3.peg.236|	unlabeled protein [Arsenophenous melophagi]
24	ref|BAB12765.1|ref|BAB12765.1|	50S ribosomal protein L11 [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
24	ref|AAO26782.1|ref|AAO26782.1|	50S ribosomal protein L11 [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
24	ref|CUX96670.1|ref|CUX96670.1|	50S ribosomal protein L11 [Candidatus Doolittlea endobia]
24	ref|CUX95761.1|ref|CUX95761.1|	50S ribosomal protein L11 [Candidatus Gullanella endobia]
24	ref|ATW22168.1|ref|ATW22168.1|	50S ribosomal protein L11 [Candidatus Hamiltonella defensa]
24	ref|CUX97373.1|ref|CUX97373.1|	50S ribosomal protein L11 [Candidatus Hoaglandella endobia]
24	ref|WP_067569175.1|ref|WP_067569175.1|	50S ribosomal protein L11 [Candidatus Mikella endobia]
24	ref|AEI75057.1|ref|AEI75057.1|	50S ribosomal protein L11 [Candidatus Moranella endobia PCIT]
24	ref|AGJ61307.1|ref|AGJ61307.1|	50S ribosomal protein L11 [Candidatus Moranella endobia PCVAL]
24	ref|AHF74823.1|ref|AHF74823.1|	LSU ribosomal protein L11p (L12e) [Candidatus Sodalis pierantonius str. SOPE]
24	ref|BBI91352.1|ref|BBI91352.1|	50S ribosomal protein L11 [Serratia symbiotica]
24	ref|KYP97159.1|ref|KYP97159.1|	50S ribosomal protein L11 [Sodalis-like endosymbiont of Proechinophthirus fluctus]
24	ref|SNC58769.1|ref|SNC58769.1|	50S ribosomal protein L11 [Sodalis endosymbiont of Henestaris halophilus]
24	ref|BAE73405.1|ref|BAE73405.1|	50S ribosomal protein L11 [Sodalis glossinidius str. morsitans]
24	fig|1173031.7.peg.5164|fig|1173031.7.peg.5164|	unlabeled protein [Sodalis melophagi]
24	ref|WP_025424018.1|ref|WP_025424018.1|	50S ribosomal protein L11 [Sodalis praecaptivus]
